ProductID,Date,Zip,Units,Revenue,StoreID,StaffID
1082,28/06/2015,R3E,1,225.6975,27,25
1082,14/12/2015,M6H,1,230.9475,26,22
1082,03/05/2016,L5T,1,230.9475,26,23
1082,14/05/2018,R3B,1,230.9475,26,22
1082,30/06/2018,T6J,1,230.9475,26,22
1085,28/12/2020,R3N,1,89.1975,28,30
1085,28/12/2020,R3X,1,89.1975,26,22
1085,24/03/2021,T6J,1,89.1975,25,20
1075,20/07/2016,R3B,1,254.5725,28,28
1086,26/08/2017,R3V,1,84,26,23
1086,28/10/2017,V6Z,2,178.395,26,23
1086,01/11/2017,T6K,1,89.1975,26,24
1086,31/08/2019,T6N,1,86.5725,26,23
1086,29/10/2019,R2V,1,86.5725,28,28
1086,30/11/2019,T2J,1,86.5725,26,22
1086,28/12/2019,M4V,1,86.5725,25,21
1086,17/05/2020,V7W,1,86.5725,28,28
1086,31/05/2020,M4P,1,86.5725,26,23
1085,29/08/2021,T5K,1,89.1975,28,28
1085,29/12/2019,T2J,1,86.5725,26,22
1085,26/04/2020,H1B,1,86.5725,26,24
1085,14/11/2020,K1R,1,89.1975,26,23
1085,09/12/2020,R3T,1,89.1975,26,24
1085,13/12/2020,L5V,1,89.1975,26,24
1081,30/12/2018,K2P,1,230.9475,25,21
1086,29/08/2021,T5K,1,89.1975,26,22
1086,27/10/2021,V7W,1,89.1975,28,28
1086,29/12/2018,L5P,1,83.9475,26,23
1086,30/12/2018,M4E,2,167.895,25,19
1086,30/12/2018,R3G,1,83.9475,25,21
1086,28/01/2019,T6K,1,83.9475,28,28
1086,30/11/2019,R3H,1,86.5725,26,22
1086,16/12/2019,V6E,1,86.5725,26,24
1086,04/01/2020,R3V,1,86.5725,26,24
1085,02/05/2018,R3M,1,84,26,24
1085,02/05/2018,T6N,1,89.1975,28,30
1085,14/10/2018,V6G,1,89.1975,26,23
1085,24/11/2018,L5P,1,83.9475,26,23
1085,29/12/2018,M5B,1,89.1975,28,29
1085,29/12/2018,V6L,2,178.395,28,29
1085,30/12/2018,R3H,1,83.9475,26,23
1085,03/02/2019,T2X,1,89.1975,26,22
1085,31/03/2019,T6R,1,83.9475,26,22
1085,05/08/2019,L5J,1,86.5725,26,22
1086,03/08/2020,L5H,1,86.5725,28,30
1086,25/10/2017,R2V,1,84,26,24
1086,29/10/2017,L5R,1,89.1975,28,28
1086,25/11/2017,L5R,1,84,26,23
1086,25/11/2017,T6E,1,84,26,22
1085,20/12/2017,M6S,1,84,26,24
1085,26/12/2017,M5R,1,89.1975,26,24
1085,27/12/2017,M5S,1,89.1975,26,23
1085,03/02/2018,R2L,1,89.1975,26,23
1085,26/02/2018,R2C,1,89.1975,26,24
1085,22/07/2018,T6J,1,89.1975,26,23
1085,01/12/2018,H1G,1,83.9475,26,23
1085,23/12/2018,T5V,1,83.9475,26,23
1085,26/01/2019,T6V,1,83.9475,26,24
1085,27/01/2019,V7W,1,83.9475,26,23
1085,19/03/2019,T6G,1,83.9475,26,24
1085,27/12/2020,R2L,1,89.1975,26,24
1086,31/03/2018,R3X,1,89.1975,26,22
1086,21/12/2020,V5V,1,86.5725,26,23
1086,27/12/2020,V5X,1,89.1975,26,23
1086,21/04/2021,R3X,1,89.1975,26,22
1086,10/05/2021,T2C,1,89.1975,28,28
1086,07/08/2021,R2G,1,89.1975,27,27
1085,27/12/2016,T2J,1,84,26,24
1085,15/01/2017,V6T,1,84,28,28
1081,26/10/2020,V5W,1,230.9475,26,24
1082,15/03/2014,T3G,1,225.6975,27,27
1082,01/02/2015,M4R,1,228.3225,26,24
1086,30/11/2021,T2S,1,89.1975,26,24
1086,20/10/2019,R2V,1,86.5725,25,21
1086,29/11/2019,T6G,1,86.5725,28,29
1086,17/12/2019,T2Y,1,86.5725,26,23
1086,27/12/2019,M4E,1,86.5725,26,22
1086,26/04/2020,H1B,1,86.5725,26,23
1086,30/09/2020,T2E,1,89.1975,26,24
1086,17/10/2020,L5N,1,89.1975,26,22
1076,22/02/2017,M4P,1,259.8225,26,23
1086,28/12/2020,V6S,1,89.1975,26,23
1086,28/12/2020,V6Z,1,89.1975,26,22
1086,03/01/2021,V5W,1,89.1975,26,23
1086,19/03/2019,T6G,1,83.9475,25,19
1086,06/05/2019,T6E,1,83.9475,28,29
1086,03/11/2020,M5R,1,89.1975,25,19
1086,21/12/2020,V7W,1,89.1975,26,24
1086,28/12/2020,L5P,1,89.1975,25,19
1086,29/12/2020,R3K,1,89.1975,26,23
1086,29/12/2020,V6N,1,89.1975,27,26
1086,02/02/2021,T1Y,1,89.1975,26,23
1086,05/08/2017,T6G,1,84,28,29
1086,26/08/2017,M5R,1,84,26,22
1085,30/11/2019,R3H,1,86.5725,26,24
1085,16/12/2019,V6E,1,86.5725,27,27
1085,27/12/2019,M4E,1,86.5725,26,24
1085,04/01/2020,R3V,1,86.5725,26,22
1086,20/05/2020,T6R,1,86.5725,26,24
1086,07/12/2019,R2C,1,86.5725,28,28
1086,22/12/2019,V6T,1,86.5725,28,29
1086,29/12/2019,V6B,1,86.5725,26,24
1085,30/09/2018,M5A,1,83.9475,26,24
1085,19/11/2018,L5N,1,83.9475,26,23
1082,05/12/2018,T6E,1,230.9475,26,22
1079,15/01/2014,V6B,1,262.4475,26,22
1081,15/03/2014,T3G,1,225.6975,25,19
1081,01/02/2015,M4R,1,228.3225,26,23
1075,05/09/2017,T5K,1,259.8225,26,24
1076,15/11/2014,R3T,1,254.5725,25,19
1076,15/12/2014,V6Z,1,254.5725,25,20
1076,11/02/2015,V5W,1,254.5725,26,24
1076,22/05/2015,R3S,1,254.5725,26,23
1076,18/12/2015,V6E,1,254.5725,26,24
1085,29/11/2019,R3H,1,86.5725,25,20
1085,29/11/2019,T6R,1,86.5725,26,24
1085,23/12/2019,V7Y,1,86.5725,26,23
1081,16/05/2018,T1Y,1,230.9475,26,23
1081,16/02/2020,T6E,1,230.9475,26,23
1082,15/03/2014,R3V,1,225.6975,28,30
1082,31/01/2018,T6G,1,230.9475,26,24
1085,28/04/2020,T6E,1,86.5725,26,22
1085,20/05/2020,T6R,1,86.5725,25,20
1082,30/12/2018,K2P,1,230.9475,25,20
1082,28/09/2020,L5R,1,230.9475,26,22
